Date,Product,Sales,Stock
2023-01-04,Product_18,17,156
2023-01-04,Product_19,17,142
2023-01-04,Product_20,24,182
2023-01-05,Product_1,21,104
2023-01-05,Product_2,20,130
2023-01-05,Product_3,25,153
2023-01-05,Product_4,24,180
2023-01-05,Product_5,18,133
2023-01-05,Product_6,14,159
2023-01-05,Product_7,12,176
2023-01-05,Product_8,22,182
2023-01-05,Product_9,16,185
2023-01-05,Product_10,22,170
2023-01-05,Product_11,10,162
2023-01-05,Product_12,16,130
2023-01-05,Product_13,19,102
2023-01-05,Product_14,25,143
2023-01-05,Product_15,24,106
2023-01-05,Product_16,18,165
2023-01-05,Product_17,22,180
2023-01-05,Product_18,24,174
2023-01-05,Product_19,22,120
2023-01-05,Product_20,21,132
2023-01-06,Product_1,18,137
2023-01-06,Product_2,24,195
2023-01-06,Product_3,23,118
2023-01-06,Product_4,19,114
2023-01-06,Product_5,19,129
2023-01-06,Product_6,21,177
2023-01-06,Product_7,27,151
2023-01-06,Product_8,28,159
2023-01-06,Product_9,21,106
2023-01-06,Product_10,29,100
2023-01-06,Product_11,16,113
2023-01-06,Product_12,19,117
2023-01-06,Product_13,26,190
2023-01-06,Product_14,19,104
2023-01-06,Product_15,18,150
2023-01-06,Product_16,18,139
2023-01-06,Product_17,17,126
2023-01-06,Product_18,22,180
2023-01-06,Product_19,19,192
2023-01-06,Product_20,23,141
2023-01-07,Product_1,19,121
2023-01-07,Product_2,15,140
2023-01-07,Product_3,22,124
2023-01-07,Product_4,12,134
2023-01-07,Product_5,28,138
2023-01-07,Product_6,22,141
2023-01-07,Product_7,28,133
2023-01-07,Product_8,27,190
2023-01-07,Product_9,23,110
2023-01-07,Product_10,24,149
2023-01-07,Product_11,19,178
2023-01-07,Product_12,17,109
2023-01-07,Product_13,12,159
2023-01-07,Product_14,17,179
2023-01-07,Product_15,19,141
2023-01-07,Product_16,20,112
2023-01-07,Product_17,23,146
2023-01-07,Product_18,23,187
2023-01-07,Product_19,28,154
2023-01-07,Product_20,19,154
2023-01-08,Product_1,22,154
2023-01-08,Product_2,23,180
2023-01-08,Product_3,18,188
2023-01-08,Product_4,22,199
2023-01-08,Product_5,22,109
2023-01-08,Product_6,23,137
2023-01-08,Product_7,20,179
2023-01-08,Product_8,23,176
2023-01-08,Product_9,15,197
2023-01-08,Product_10,24,123
2023-01-08,Product_11,18,182
2023-01-08,Product_12,23,184
2023-01-08,Product_13,20,140
2023-01-08,Product_14,16,123
2023-01-08,Product_15,22,159
2023-01-08,Product_16,20,119
2023-01-08,Product_17,19,151
2023-01-08,Product_18,26,149
2023-01-08,Product_19,25,159
2023-01-08,Product_20,17,162
2023-01-09,Product_1,20,184
2023-01-09,Product_2,17,128
2023-01-09,Product_3,14,112
2023-01-09,Product_4,23,163
2023-01-09,Product_5,23,109
2023-01-09,Product_6,18,104
2023-01-09,Product_7,13,194
2023-01-09,Product_8,22,143
2023-01-09,Product_9,23,133
2023-01-09,Product_10,16,177
2023-01-09,Product_11,16,185
2023-01-09,Product_12,22,199
2023-01-09,Product_13,24,196
2023-01-09,Product_14,23,116
2023-01-09,Product_15,26,133
2023-01-09,Product_16,18,140
2023-01-09,Product_17,18,163
2023-01-09,Product_18,28,144
2023-01-09,Product_19,30,185
2023-01-09,Product_20,17,136
2023-01-10,Product_1,21,123
2023-01-10,Product_2,14,152
2023-01-10,Product_3,16,118
2023-01-10,Product_4,22,116
2023-01-10,Product_5,20,104
2023-01-10,Product_6,21,114
2023-01-10,Product_7,23,158
2023-01-10,Product_8,22,187
2023-01-10,Product_9,17,112
2023-01-10,Product_10,13,106
2023-01-10,Product_11,25,199
2023-01-10,Product_12,19,107
2023-01-10,Product_13,19,157
2023-01-10,Product_14,17,123
2023-01-10,Product_15,16,182
2023-01-10,Product_16,26,176
2023-01-10,Product_17,25,166
2023-01-10,Product_18,23,133
2023-01-10,Product_19,24,111
2023-01-10,Product_20,20,176
2023-01-11,Product_1,14,172
2023-01-11,Product_2,21,198
2023-01-11,Product_3,13,150
2023-01-11,Product_4,17,115
2023-01-11,Product_5,24,174
2023-01-11,Product_6,22,117
2023-01-11,Product_7,22,194
2023-01-11,Product_8,24,169
2023-01-11,Product_9,19,150
2023-01-11,Product_10,21,105
2023-01-11,Product_11,28,190
2023-01-11,Product_12,19,189
2023-01-11,Product_13,20,185
2023-01-11,Product_14,19,188
2023-01-11,Product_15,24,114
2023-01-11,Product_16,25,168
2023-01-11,Product_17,21,142
2023-01-11,Product_18,17,167
2023-01-11,Product_19,21,121
2023-01-11,Product_20,12,110
2023-01-12,Product_1,17,166
2023-01-12,Product_2,21,158
2023-01-12,Product_3,30,115
2023-01-12,Product_4,22,104
2023-01-12,Product_5,24,121
2023-01-12,Product_6,18,111
2023-01-12,Product_7,30,173
2023-01-12,Product_8,17,136
2023-01-12,Product_9,23,129
2023-01-12,Product_10,26,165
2023-01-12,Product_11,22,183
2023-01-12,Product_12,20,155
2023-01-12,Product_13,27,124
2023-01-12,Product_14,16,188
2023-01-12,Product_15,22,128
2023-01-12,Product_16,19,115
2023-01-12,Product_17,20,161
2023-01-12,Product_18,15,175
2023-01-12,Product_19,22,159
2023-01-12,Product_20,23,146
2023-01-13,Product_1,20,102
2023-01-13,Product_2,15,106
2023-01-13,Product_3,19,180
2023-01-13,Product_4,19,192
2023-01-13,Product_5,19,128
2023-01-13,Product_6,28,126
2023-01-13,Product_7,23,180
2023-01-13,Product_8,16,148
2023-01-13,Product_9,28,188
2023-01-13,Product_10,17,177
2023-01-13,Product_11,14,114
2023-01-13,Product_12,21,171
2023-01-13,Product_13,31,151
2023-01-13,Product_14,16,119
2023-01-13,Product_15,14,197
2023-01-13,Product_16,16,119
2023-01-13,Product_17,24,153
2023-01-13,Product_18,23,122
2023-01-13,Product_19,17,161
2023-01-13,Product_20,23,177
2023-01-14,Product_1,10,165
2023-01-14,Product_2,15,154
2023-01-14,Product_3,16,188
2023-01-14,Product_4,23,155
2023-01-14,Product_5,16,161
2023-01-14,Product_6,20,127
2023-01-14,Product_7,23,101
2023-01-14,Product_8,22,164
2023-01-14,Product_9,21,156
2023-01-14,Product_10,15,127
2023-01-14,Product_11,14,118
2023-01-14,Product_12,24,126
2023-01-14,Product_13,20,185
2023-01-14,Product_14,29,179
2023-01-14,Product_15,16,108
2023-01-14,Product_16,17,181
2023-01-14,Product_17,16,134
2023-01-14,Product_18,21,149
2023-01-14,Product_19,19,130
2023-01-14,Product_20,26,178
2023-01-15,Product_1,22,148
2023-01-15,Product_2,17,197
2023-01-15,Product_3,24,130
2023-01-15,Product_4,30,186
2023-01-15,Product_5,15,153
2023-01-15,Product_6,19,131
2023-01-15,Product_7,17,196
2023-01-15,Product_8,19,140
2023-01-15,Product_9,16,159
2023-01-15,Product_10,29,101
2023-01-15,Product_11,15,157
2023-01-15,Product_12,23,153
2023-01-15,Product_13,21,127
2023-01-15,Product_14,20,108
2023-01-15,Product_15,19,150
2023-01-15,Product_16,23,120
2023-01-15,Product_17,20,130
2023-01-15,Product_18,22,188
2023-01-15,Product_19,23,137
2023-01-15,Product_20,16,124
2023-01-16,Product_1,24,173
2023-01-16,Product_2,22,178
2023-01-16,Product_3,21,105
2023-01-16,Product_4,19,186
2023-01-16,Product_5,24,108
2023-01-16,Product_6,39,108
2023-01-16,Product_7,16,117
2023-01-16,Product_8,20,157
2023-01-16,Product_9,24,195
2023-01-16,Product_10,15,174
2023-01-16,Product_11,18,133
2023-01-16,Product_12,15,146
2023-01-16,Product_13,9,142
2023-01-16,Product_14,19,144
2023-01-16,Product_15,19,169
2023-01-16,Product_16,22,103
2023-01-16,Product_17,22,195
2023-01-16,Product_18,21,129
2023-01-16,Product_19,20,129
2023-01-16,Product_20,15,168
2023-01-17,Product_1,22,120
2023-01-17,Product_2,24,130
2023-01-17,Product_3,19,108
2023-01-17,Product_4,26,113
2023-01-17,Product_5,10,160
2023-01-17,Product_6,19,126
2023-01-17,Product_7,13,103
2023-01-17,Product_8,19,111
2023-01-17,Product_9,26,168
2023-01-17,Product_10,20,127
2023-01-17,Product_11,14,175
2023-01-17,Product_12,19,150
2023-01-17,Product_13,15,123
2023-01-17,Product_14,15,189
2023-01-17,Product_15,20,104
2023-01-17,Product_16,27,172
2023-01-17,Product_17,14,132
2023-01-17,Product_18,24,127
2023-01-17,Product_19,13,127
2023-01-17,Product_20,12,109
2023-01-18,Product_1,20,116
2023-01-18,Product_2,24,134
2023-01-18,Product_3,14,131
2023-01-18,Product_4,27,148
2023-01-18,Product_5,21,103
2023-01-18,Product_6,24,121
2023-01-18,Product_7,22,100
2023-01-18,Product_8,19,150
2023-01-18,Product_9,23,149
2023-01-18,Product_10,22,193
2023-01-18,Product_11,27,180
2023-01-18,Product_12,29,155
2023-01-18,Product_13,17,171
2023-01-18,Product_14,21,105
2023-01-18,Product_15,10,192
2023-01-18,Product_16,18,115
2023-01-18,Product_17,18,157
2023-01-18,Product_18,22,186
2023-01-18,Product_19,16,172
2023-01-18,Product_20,17,180
2023-01-19,Product_1,22,116
2023-01-19,Product_2,20,189
2023-01-19,Product_3,10,104
2023-01-19,Product_4,22,176
2023-01-19,Product_5,26,145
2023-01-19,Product_6,28,199
2023-01-19,Product_7,16,128
2023-01-19,Product_8,19,114
2023-01-19,Product_9,17,190
2023-01-19,Product_10,25,184
2023-01-19,Product_11,24,193
2023-01-19,Product_12,20,192
2023-01-19,Product_13,24,145
2023-01-19,Product_14,15,116
2023-01-19,Product_15,17,179
2023-01-19,Product_16,19,116
2023-01-19,Product_17,19,101
2023-01-19,Product_18,14,184
2023-01-19,Product_19,24,198
2023-01-19,Product_20,18,148
2023-01-20,Product_1,22,127
2023-01-20,Product_2,22,125
2023-01-20,Product_3,27,131
2023-01-20,Product_4,17,117
2023-01-20,Product_5,15,152
2023-01-20,Product_6,19,124
2023-01-20,Product_7,23,198
2023-01-20,Product_8,19,145
2023-01-20,Product_9,12,112
2023-01-20,Product_10,16,124
2023-01-20,Product_11,24,112
2023-01-20,Product_12,23,104
2023-01-20,Product_13,20,164
2023-01-20,Product_14,25,128
2023-01-20,Product_15,16,199
2023-01-20,Product_16,16,170
2023-01-20,Product_17,22,113
2023-01-20,Product_18,17,131
2023-01-20,Product_19,17,134
2023-01-20,Product_20,13,154
2023-01-21,Product_1,25,191
2023-01-21,Product_2,24,114
2023-01-21,Product_3,12,102
2023-01-21,Product_4,13,106
2023-01-21,Product_5,14,199
2023-01-21,Product_6,28,156
2023-01-21,Product_7,14,139
2023-01-21,Product_8,20,134
2023-01-21,Product_9,20,121
2023-01-21,Product_10,24,182
2023-01-21,Product_11,16,143
2023-01-21,Product_12,17,106
2023-01-21,Product_13,21,118
2023-01-21,Product_14,13,182
2023-01-21,Product_15,25,168
2023-01-21,Product_16,25,110
2023-01-21,Product_17,23,180
2023-01-21,Product_18,24,189
2023-01-21,Product_19,13,184
2023-01-21,Product_20,22,137
2023-01-22,Product_1,24,105
2023-01-22,Product_2,19,143
2023-01-22,Product_3,22,100
2023-01-22,Product_4,14,170
2023-01-22,Product_5,15,138
2023-01-22,Product_6,20,136
2023-01-22,Product_7,21,148
2023-01-22,Product_8,28,138
2023-01-22,Product_9,24,145
2023-01-22,Product_10,22,155
2023-01-22,Product_11,23,106
2023-01-22,Product_12,20,177
2023-01-22,Product_13,16,106
2023-01-22,Product_14,20,188
2023-01-22,Product_15,23,189
2023-01-22,Product_16,15,128
2023-01-22,Product_17,16,135
2023-01-22,Product_18,18,146
2023-01-22,Product_19,26,192
2023-01-22,Product_20,14,177
2023-01-23,Product_1,12,173
2023-01-23,Product_2,18,190
2023-01-23,Product_3,23,163
2023-01-23,Product_4,20,174
2023-01-23,Product_5,12,167
2023-01-23,Product_6,25,121
2023-01-23,Product_7,17,151
2023-01-23,Product_8,14,180
2023-01-23,Product_9,21,165
2023-01-23,Product_10,19,125
2023-01-23,Product_11,25,191
2023-01-23,Product_12,26,120
2023-01-23,Product_13,20,126
2023-01-23,Product_14,21,183
2023-01-23,Product_15,19,183
2023-01-23,Product_16,22,192
2023-01-23,Product_17,22,149
2023-01-23,Product_18,21,170
2023-01-23,Product_19,20,155
2023-01-23,Product_20,22,158
2023-01-24,Product_1,29,167
2023-01-24,Product_2,22,112
2023-01-24,Product_3,22,167
2023-01-24,Product_4,15,188
2023-01-24,Product_5,21,138
2023-01-24,Product_6,21,160
2023-01-24,Product_7,23,106
2023-01-24,Product_8,13,149
2023-01-24,Product_9,15,141
2023-01-24,Product_10,16,170
2023-01-24,Product_11,19,173
2023-01-24,Product_12,25,125
2023-01-24,Product_13,29,182
2023-01-24,Product_14,22,163
2023-01-24,Product_15,23,192
2023-01-24,Product_16,20,191
2023-01-24,Product_17,22,103
2023-01-24,Product_18,15,130
2023-01-24,Product_19,18,158
2023-01-24,Product_20,24,156
2023-01-25,Product_1,23,100
2023-01-25,Product_2,20,154
2023-01-25,Product_3,33,152
2023-01-25,Product_4,16,137
2023-01-25,Product_5,26,115
2023-01-25,Product_6,18,130
2023-01-25,Product_7,20,136
2023-01-25,Product_8,25,158
2023-01-25,Product_9,14,136
2023-01-25,Product_10,26,100
2023-01-25,Product_11,20,157
2023-01-25,Product_12,18,116
2023-01-25,Product_13,17,181
2023-01-25,Product_14,25,104
2023-01-25,Product_15,28,197
2023-01-25,Product_16,24,165
2023-01-25,Product_17,21,114
2023-01-25,Product_18,19,146
2023-01-25,Product_19,13,192
2023-01-25,Product_20,16,157
2023-01-26,Product_1,26,112
2023-01-26,Product_2,20,156
2023-01-26,Product_3,23,192
2023-01-26,Product_4,19,120
2023-01-26,Product_5,17,191
2023-01-26,Product_6,16,152
2023-01-26,Product_7,28,180
2023-01-26,Product_8,23,154
2023-01-26,Product_9,17,151
2023-01-26,Product_10,16,115
2023-01-26,Product_11,13,164
2023-01-26,Product_12,11,197
2023-01-26,Product_13,21,182
2023-01-26,Product_14,22,169
2023-01-26,Product_15,14,120
2023-01-26,Product_16,23,138
2023-01-26,Product_17,27,182
2023-01-26,Product_18,15,187
2023-01-26,Product_19,25,150
2023-01-26,Product_20,23,156
2023-01-27,Product_1,14,180
2023-01-27,Product_2,21,156
2023-01-27,Product_3,16,141
2023-01-27,Product_4,20,105
2023-01-27,Product_5,19,144
2023-01-27,Product_6,17,118
2023-01-27,Product_7,21,139
2023-01-27,Product_8,13,174
2023-01-27,Product_9,23,140
2023-01-27,Product_10,23,116
2023-01-27,Product_11,9,113
2023-01-27,Product_12,26,118
2023-01-27,Product_13,15,132
2023-01-27,Product_14,20,169
2023-01-27,Product_15,24,110
2023-01-27,Product_16,19,157
2023-01-27,Product_17,20,128
2023-01-27,Product_18,22,139
2023-01-27,Product_19,27,103
2023-01-27,Product_20,18,155
2023-01-28,Product_1,28,186
2023-01-28,Product_2,18,134
2023-01-28,Product_3,18,155
2023-01-28,Product_4,28,117
2023-01-28,Product_5,20,142
2023-01-28,Product_6,18,137
2023-01-28,Product_7,25,168
2023-01-28,Product_8,16,157
2023-01-28,Product_9,28,172
2023-01-28,Product_10,14,175
2023-01-28,Product_11,17,189
2023-01-28,Product_12,26,175
2023-01-28,Product_13,23,147
2023-01-28,Product_14,14,149
2023-01-28,Product_15,11,153
2023-01-28,Product_16,12,112
2023-01-28,Product_17,23,179
2023-01-28,Product_18,21,150
2023-01-28,Product_19,13,168
2023-01-28,Product_20,22,135
2023-01-29,Product_1,20,178
2023-01-29,Product_2,28,117
2023-01-29,Product_3,17,145
2023-01-29,Product_4,18,133
2023-01-29,Product_5,17,142
2023-01-29,Product_6,22,150
2023-01-29,Product_7,24,128
2023-01-29,Product_8,11,152
2023-01-29,Product_9,23,187
2023-01-29,Product_10,12,118
2023-01-29,Product_11,11,192
2023-01-29,Product_12,18,117
2023-01-29,Product_13,16,188
2023-01-29,Product_14,21,170
2023-01-29,Product_15,18,125
2023-01-29,Product_16,27,161
2023-01-29,Product_17,26,172
2023-01-29,Product_18,25,150
2023-01-29,Product_19,23,106
2023-01-29,Product_20,25,148
2023-01-30,Product_1,18,136
2023-01-30,Product_2,18,137
2023-01-30,Product_3,22,120
2023-01-30,Product_4,13,120
2023-01-30,Product_5,22,108
2023-01-30,Product_6,22,113
2023-01-30,Product_7,15,172
2023-01-30,Product_8,14,120
2023-01-30,Product_9,21,189
2023-01-30,Product_10,18,127
2023-01-30,Product_11,22,187
2023-01-30,Product_12,16,199
2023-01-30,Product_13,13,171
2023-01-30,Product_14,16,163
2023-01-30,Product_15,20,137
2023-01-30,Product_16,22,117
2023-01-30,Product_17,15,118
2023-01-30,Product_18,21,114
2023-01-30,Product_19,14,130
2023-01-30,Product_20,21,110
2023-01-31,Product_1,20,173
2023-01-31,Product_2,19,166
2023-01-31,Product_3,15,147
2023-01-31,Product_4,18,153
2023-01-31,Product_5,14,154
2023-01-31,Product_6,19,104
2023-01-31,Product_7,18,126
2023-01-31,Product_8,25,116
2023-01-31,Product_9,14,130
2023-01-31,Product_10,19,118
2023-01-31,Product_11,22,147
2023-01-31,Product_12,18,182
2023-01-31,Product_13,17,169
2023-01-31,Product_14,16,179
2023-01-31,Product_15,19,185
2023-01-31,Product_16,27,189
2023-01-31,Product_17,21,169
2023-01-31,Product_18,24,130
2023-01-31,Product_19,21,126
2023-01-31,Product_20,26,135
2023-02-01,Product_1,21,114
2023-02-01,Product_2,19,196
2023-02-01,Product_3,22,114
2023-02-01,Product_4,18,154
2023-02-01,Product_5,15,139
2023-02-01,Product_6,22,121
2023-02-01,Product_7,8,101
2023-02-01,Product_8,11,172
2023-02-01,Product_9,17,121
2023-02-01,Product_10,22,141
2023-02-01,Product_11,17,138
2023-02-01,Product_12,20,178
2023-02-01,Product_13,30,174
2023-02-01,Product_14,17,165
2023-02-01,Product_15,19,191
2023-02-01,Product_16,26,122
2023-02-01,Product_17,21,117
2023-02-01,Product_18,20,190
2023-02-01,Product_19,24,198
2023-02-01,Product_20,19,154
2023-02-02,Product_1,14,143
2023-02-02,Product_2,18,138
2023-02-02,Product_3,23,148
2023-02-02,Product_4,15,142
2023-02-02,Product_5,28,149
2023-02-02,Product_6,20,138
2023-02-02,Product_7,13,164
2023-02-02,Product_8,22,107
2023-02-02,Product_9,24,197
2023-02-02,Product_10,18,154
2023-02-02,Product_11,16,110
2023-02-02,Product_12,15,104
2023-02-02,Product_13,16,132
2023-02-02,Product_14,18,115
2023-02-02,Product_15,20,102
2023-02-02,Product_16,16,161
2023-02-02,Product_17,24,101
2023-02-02,Product_18,22,181
2023-02-02,Product_19,18,110
2023-02-02,Product_20,18,161
2023-02-03,Product_1,18,196
2023-02-03,Product_2,14,115
2023-02-03,Product_3,21,174
2023-02-03,Product_4,15,123
2023-02-03,Product_5,18,182
2023-02-03,Product_6,21,134
2023-02-03,Product_7,10,192
2023-02-03,Product_8,14,115
2023-02-03,Product_9,24,112
2023-02-03,Product_10,27,185
2023-02-03,Product_11,23,140
2023-02-03,Product_12,23,154
2023-02-03,Product_13,21,169
2023-02-03,Product_14,21,103
2023-02-03,Product_15,14,167
2023-02-03,Product_16,16,167
2023-02-03,Product_17,19,101
2023-02-03,Product_18,22,166
2023-02-03,Product_19,21,162
2023-02-03,Product_20,9,193
2023-02-04,Product_1,22,167
2023-02-04,Product_2,22,144
2023-02-04,Product_3,25,149
2023-02-04,Product_4,34,194
2023-02-04,Product_5,21,122
2023-02-04,Product_6,23,105
2023-02-04,Product_7,13,150
2023-02-04,Product_8,22,163
2023-02-04,Product_9,22,160
2023-02-04,Product_10,22,179
2023-02-04,Product_11,19,137
2023-02-04,Product_12,23,124
2023-02-04,Product_13,25,171
2023-02-04,Product_14,19,140
2023-02-04,Product_15,21,191
2023-02-04,Product_16,16,177
2023-02-04,Product_17,20,109
2023-02-04,Product_18,21,191
2023-02-04,Product_19,18,116
2023-02-04,Product_20,20,168
2023-02-05,Product_1,24,183
2023-02-05,Product_2,22,136
2023-02-05,Product_3,16,184
2023-02-05,Product_4,21,109
2023-02-05,Product_5,20,104
2023-02-05,Product_6,20,135
2023-02-05,Product_7,16,176
2023-02-05,Product_8,17,114
2023-02-05,Product_9,21,135
2023-02-05,Product_10,19,174
2023-02-05,Product_11,16,151
2023-02-05,Product_12,20,154
2023-02-05,Product_13,27,140
2023-02-05,Product_14,18,112
2023-02-05,Product_15,21,125
2023-02-05,Product_16,28,146
2023-02-05,Product_17,18,109
2023-02-05,Product_18,17,127
2023-02-05,Product_19,18,191
2023-02-05,Product_20,27,147
2023-02-06,Product_1,27,125
2023-02-06,Product_2,19,179
2023-02-06,Product_3,13,169
2023-02-06,Product_4,17,134
2023-02-06,Product_5,17,100
2023-02-06,Product_6,23,130
2023-02-06,Product_7,12,128
2023-02-06,Product_8,20,167
2023-02-06,Product_9,24,149
2023-02-06,Product_10,17,101
2023-02-06,Product_11,15,153
2023-02-06,Product_12,10,186
2023-02-06,Product_13,22,100
2023-02-06,Product_14,17,150
2023-02-06,Product_15,29,104
2023-02-06,Product_16,15,102
2023-02-06,Product_17,24,196
2023-02-06,Product_18,15,131
2023-02-06,Product_19,17,119
2023-02-06,Product_20,17,184
2023-02-07,Product_1,24,169
2023-02-07,Product_2,18,100
2023-02-07,Product_3,15,130
2023-02-07,Product_4,23,167
2023-02-07,Product_5,27,153
2023-02-07,Product_6,24,173
2023-02-07,Product_7,28,120
2023-02-07,Product_8,23,185
2023-02-07,Product_9,20,133
2023-02-07,Product_10,20,100
2023-02-07,Product_11,22,160
2023-02-07,Product_12,14,183
2023-02-07,Product_13,21,105
2023-02-07,Product_14,16,179
2023-02-07,Product_15,27,173
2023-02-07,Product_16,25,163
2023-02-07,Product_17,27,104
2023-02-07,Product_18,21,120
2023-02-07,Product_19,15,158
2023-02-07,Product_20,18,154
2023-02-08,Product_1,19,134
2023-02-08,Product_2,20,145
2023-02-08,Product_3,21,170
2023-02-08,Product_4,18,100
2023-02-08,Product_5,26,101
2023-02-08,Product_6,14,141
2023-02-08,Product_7,17,191
2023-02-08,Product_8,15,183
2023-02-08,Product_9,17,171
2023-02-08,Product_10,23,143
2023-02-08,Product_11,30,164
2023-02-08,Product_12,23,107
2023-02-08,Product_13,15,104
2023-02-08,Product_14,13,112
2023-02-08,Product_15,25,121
2023-02-08,Product_16,23,150
2023-02-08,Product_17,20,184
2023-02-08,Product_18,15,162
2023-02-08,Product_19,21,171
2023-02-08,Product_20,20,101
2023-02-09,Product_1,15,174
2023-02-09,Product_2,22,196
2023-02-09,Product_3,10,196
2023-02-09,Product_4,17,124
2023-02-09,Product_5,17,169
2023-02-09,Product_6,20,129
2023-02-09,Product_7,17,106
2023-02-09,Product_8,16,106
2023-02-09,Product_9,24,102
2023-02-09,Product_10,14,194
2023-02-09,Product_11,16,161
2023-02-09,Product_12,27,190
2023-02-09,Product_13,19,118
2023-02-09,Product_14,27,138
2023-02-09,Product_15,18,103
2023-02-09,Product_16,14,144
2023-02-09,Product_17,12,194
2023-02-09,Product_18,27,104
2023-02-09,Product_19,22,111
2023-02-09,Product_20,26,143
2023-02-10,Product_1,21,197
2023-02-10,Product_2,18,142
2023-02-10,Product_3,19,190
2023-02-10,Product_4,22,173
2023-02-10,Product_5,13,159
2023-02-10,Product_6,12,118
2023-02-10,Product_7,22,186
2023-02-10,Product_8,17,111
2023-02-10,Product_9,19,105
2023-02-10,Product_10,19,199
2023-02-10,Product_11,15,165
2023-02-10,Product_12,17,119
2023-02-10,Product_13,24,131
2023-02-10,Product_14,17,195
2023-02-10,Product_15,25,147
2023-02-10,Product_16,21,147
2023-02-10,Product_17,18,158
2023-02-10,Product_18,31,148
2023-02-10,Product_19,18,167
2023-02-10,Product_20,24,148
2023-02-11,Product_1,24,167
2023-02-11,Product_2,14,166
2023-02-11,Product_3,22,197
2023-02-11,Product_4,23,101
2023-02-11,Product_5,16,181
2023-02-11,Product_6,21,119
2023-02-11,Product_7,30,156
2023-02-11,Product_8,16,108
2023-02-11,Product_9,17,161
2023-02-11,Product_10,30,184
2023-02-11,Product_11,20,123
2023-02-11,Product_12,19,165
2023-02-11,Product_13,18,195
2023-02-11,Product_14,23,119
2023-02-11,Product_15,24,113
2023-02-11,Product_16,9,109
2023-02-11,Product_17,15,143
2023-02-11,Product_18,28,174
2023-02-11,Product_19,29,173
2023-02-11,Product_20,23,169
2023-02-12,Product_1,24,124
2023-02-12,Product_2,18,103
2023-02-12,Product_3,22,100
2023-02-12,Product_4,26,164
2023-02-12,Product_5,15,197
2023-02-12,Product_6,18,165
2023-02-12,Product_7,19,113
2023-02-12,Product_8,23,132
2023-02-12,Product_9,12,198
2023-02-12,Product_10,16,168
2023-02-12,Product_11,23,143
2023-02-12,Product_12,18,121
2023-02-12,Product_13,14,162
2023-02-12,Product_14,14,141
2023-02-12,Product_15,29,199
2023-02-12,Product_16,21,114
2023-02-12,Product_17,15,178
2023-02-12,Product_18,16,100
2023-02-12,Product_19,16,134
2023-02-12,Product_20,24,125
2023-02-13,Product_1,21,138
2023-02-13,Product_2,28,141
2023-02-13,Product_3,28,189
2023-02-13,Product_4,22,134
2023-02-13,Product_5,21,118
2023-02-13,Product_6,17,140
2023-02-13,Product_7,25,132
2023-02-13,Product_8,21,161
2023-02-13,Product_9,19,157
2023-02-13,Product_10,20,108
2023-02-13,Product_11,20,187
2023-02-13,Product_12,16,134
2023-02-13,Product_13,19,124
